,rmse,mean,median,std,min,max,sse
estimation.tum,7.6371329419373986,5.936739644256529,3.7962504309490117,4.804260814021053,1.4226210464354072,12.59134745538517,174.97739871847614
village_summer_est_from_matches.tum.txt,152.11216991730396,68.08066048870349,1.4703374476629802,136.02623241262194,0.0,535.1211261803307,24642089.53235255
