ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count,core_frame_start,core_frame_end_exclusive,core_total_count,core_valid_count,core_valid_ratio,core_mae,core_norm_mae,core_corr
50,0.8,1.2,50,0.9,1.6542,0.6114956392573867,0.13736263736263737,0.9995160484658714,0.9991735537190083,50,314,0.13736263736263737,0.3,0.0008264462809917355,0.9995160484658714,50,25,339,314,314,1.0,80.1687898089172,0.2208506606306259,0.22878755222939215
50,0.8,1.2,10,0.9,1.6771,0.6090034116089399,0.13186813186813187,0.9994797112492136,0.9991391184573003,48,316,0.13186813186813187,0.3125,0.0008608815426997245,0.9994797112492136,50,25,339,314,314,1.0,80.1687898089172,0.2208506606306259,0.22878755222939215
50,0.8,1.2,30,0.9,1.7038,0.6090034116089399,0.13186813186813187,0.9994797112492136,0.9991391184573003,48,316,0.13186813186813187,0.3125,0.0008608815426997245,0.9994797112492136,50,25,339,314,314,1.0,80.1687898089172,0.2208506606306259,0.22878755222939215
50,0.5,1.5,10,0.9,2.4644,0.60651295394496,0.12637362637362637,0.9994489218826919,0.9991016888250089,46,318,0.12637362637362637,0.32608695652173914,0.000898311174991017,0.9994489218826919,50,25,339,314,314,1.0,100.76114649681529,0.2775789159691881,0.06726110435622701
50,0.5,1.5,30,0.9,2.4364,0.60651295394496,0.12637362637362637,0.9994489218826919,0.9991016888250089,46,318,0.12637362637362637,0.32608695652173914,0.000898311174991017,0.9994489218826919,50,25,339,314,314,1.0,100.76114649681529,0.2775789159691881,0.06726110435622701
50,0.5,1.5,50,0.9,2.4832,0.60651295394496,0.12637362637362637,0.9994489218826919,0.9991016888250089,46,318,0.12637362637362637,0.32608695652173914,0.000898311174991017,0.9994489218826919,50,25,339,314,314,1.0,100.76114649681529,0.2775789159691881,0.06726110435622701
50,0.3,2.0,10,0.9,4.0852,0.5977934071294372,0.10714285714285714,0.999239178829254,0.9992229992229992,39,325,0.10714285714285714,0.28205128205128205,0.000777000777000777,0.999239178829254,50,25,339,314,314,1.0,106.79617834394904,0.29420434805495604,0.12149464628530249
50,0.3,2.0,30,0.9,4.0626,0.5977934071294372,0.10714285714285714,0.999239178829254,0.9992229992229992,39,325,0.10714285714285714,0.28205128205128205,0.000777000777000777,0.999239178829254,50,25,339,314,314,1.0,106.79617834394904,0.29420434805495604,0.12149464628530249
50,0.3,2.0,50,0.9,4.0998,0.5977934071294372,0.10714285714285714,0.999239178829254,0.9992229992229992,39,325,0.10714285714285714,0.28205128205128205,0.000777000777000777,0.999239178829254,50,25,339,314,314,1.0,106.79617834394904,0.29420434805495604,0.12149464628530249
50,0.8,1.2,10,1.0,1.6771,0.5965742349839761,0.8626373626373627,0.22878755222939215,0.7791493393693741,314,50,0.8626373626373627,80.1687898089172,0.2208506606306259,0.22878755222939215,50,25,339,314,314,1.0,80.1687898089172,0.2208506606306259,0.22878755222939215
50,0.8,1.2,30,1.0,1.7038,0.5965742349839761,0.8626373626373627,0.22878755222939215,0.7791493393693741,314,50,0.8626373626373627,80.1687898089172,0.2208506606306259,0.22878755222939215,50,25,339,314,314,1.0,80.1687898089172,0.2208506606306259,0.22878755222939215
50,0.8,1.2,50,1.0,1.6542,0.5965742349839761,0.8626373626373627,0.22878755222939215,0.7791493393693741,314,50,0.8626373626373627,80.1687898089172,0.2208506606306259,0.22878755222939215,50,25,339,314,314,1.0,80.1687898089172,0.2208506606306259,0.22878755222939215
20,0.3,2.0,10,1.0,1.6372,0.5870749078231833,0.945054945054945,0.13615166721104513,0.7155967710935998,344,20,0.945054945054945,103.23837209302326,0.2844032289064002,0.13615166721104513,20,10,354,344,344,1.0,103.23837209302326,0.2844032289064002,0.13615166721104513
