frame_id,x,y,yaw_rad
168,94.5085,-31.6981,0.859029
169,95.8069,-30.1929,0.908117
170,97.0299,-28.6258,0.957204
171,98.1745,-27.0006,1.006291
172,99.2380,-25.3212,1.055379
173,100.2178,-23.5916,1.104466
174,101.1116,-21.8160,1.153554
175,101.9171,-19.9987,1.202641
176,102.6325,-18.1440,1.251728
177,103.2561,-16.2565,1.300816
178,103.7863,-14.3407,1.349903
179,104.2218,-12.4012,1.398990
180,104.5616,-10.4426,1.448078
181,104.8050,-8.4697,1.497165
182,104.9512,-6.4872,1.546253
183,105.0000,-4.5000,1.570796
184,105.0000,-2.5286,1.570796
185,105.0000,-0.5571,1.570796
186,105.0000,1.4143,1.570796
187,105.0000,3.3857,1.570796
188,105.0000,5.3571,1.570796
189,105.0000,7.3286,1.570796
190,105.0000,9.3000,1.570796
191,105.0000,11.2714,1.570796
192,105.0000,13.2429,1.570796
193,105.0000,15.2143,1.570796
194,105.0000,17.1857,1.570796
195,105.0000,19.1571,1.570796
196,105.0000,21.1286,1.570796
197,105.0000,23.1000,1.570796
198,105.0000,25.0714,1.570796
199,105.0000,27.0429,1.570796
200,105.0000,29.0143,1.570796
201,105.0000,30.9857,1.570796
202,105.0000,32.9571,1.570796
203,105.0000,34.9286,1.570796
204,105.0000,36.9000,1.570796
205,105.0000,38.8714,1.570796
206,105.0000,40.8429,1.570796
207,105.0000,42.8143,1.570796
208,105.0000,44.7857,1.570796
209,105.0000,46.7571,1.570796
210,105.0000,48.7286,1.570796
211,105.0000,50.7000,1.570796
212,105.0000,52.6714,1.570796
213,105.0000,54.6429,1.570796
214,105.0000,56.6143,1.570796
215,105.0000,58.5857,1.570796
216,105.0000,60.5571,1.570796
217,105.0000,62.5286,1.570796
218,105.0000,64.5000,1.595340
219,104.9512,66.4872,1.644427
220,104.8050,68.4697,1.693515
221,104.5616,70.4426,1.742602
222,104.2218,72.4012,1.791690
223,103.7863,74.3407,1.840777
224,103.2561,76.2565,1.889864
225,102.6325,78.1440,1.938952
226,101.9171,79.9987,1.988039
227,101.1116,81.8160,2.037126
228,100.2178,83.5916,2.086214
229,99.2380,85.3212,2.135301
230,98.1745,87.0006,2.184389
231,97.0299,88.6258,2.233476
232,95.8069,90.1929,2.282563
233,94.5085,91.6981,2.331651
234,93.1378,93.1378,2.380738
235,91.6981,94.5085,2.429826
236,90.1929,95.8069,2.478913
237,88.6258,97.0299,2.528000
238,87.0006,98.1745,2.577088
239,85.3212,99.2380,2.626175
240,83.5916,100.2178,2.675262
241,81.8160,101.1116,2.724350
242,79.9987,101.9171,2.773437
243,78.1440,102.6325,2.822525
244,76.2565,103.2561,2.871612
245,74.3407,103.7863,2.920699
246,72.4012,104.2218,2.969787
247,70.4426,104.5616,3.018874
248,68.4697,104.8050,3.067962
249,66.4872,104.9512,3.117049
250,64.5000,105.0000,3.141593
251,62.5286,105.0000,3.141593
252,60.5571,105.0000,3.141593
253,58.5857,105.0000,3.141593
254,56.6143,105.0000,3.141593
255,54.6429,105.0000,3.141593
256,52.6714,105.0000,3.141593
257,50.7000,105.0000,3.141593
258,48.7286,105.0000,3.141593
259,46.7571,105.0000,3.141593
260,44.7857,105.0000,3.141593
261,42.8143,105.0000,3.141593
262,40.8429,105.0000,3.141593
263,38.8714,105.0000,3.141593
264,36.9000,105.0000,3.141593
265,34.9286,105.0000,3.141593
266,32.9571,105.0000,3.141593
267,30.9857,105.0000,3.141593
268,29.0143,105.0000,3.141593
269,27.0429,105.0000,3.141593
270,25.0714,105.0000,3.141593
271,23.1000,105.0000,3.141593
272,21.1286,105.0000,3.141593
273,19.1571,105.0000,3.141593
274,17.1857,105.0000,3.141593
275,15.2143,105.0000,3.141593
276,13.2429,105.0000,3.141593
277,11.2714,105.0000,3.141593
278,9.3000,105.0000,3.141593
279,7.3286,105.0000,3.141593
280,5.3571,105.0000,3.141593
281,3.3857,105.0000,3.141593
282,1.4143,105.0000,3.141593
283,-0.5571,105.0000,3.141593
284,-2.5286,105.0000,3.141593
285,-4.5000,105.0000,-3.117049
286,-6.4872,104.9512,-3.067962
287,-8.4697,104.8050,-3.018874
288,-10.4426,104.5616,-2.969787
289,-12.4012,104.2218,-2.920699
290,-14.3407,103.7863,-2.871612
291,-16.2565,103.2561,-2.822525
292,-18.1440,102.6325,-2.773437
293,-19.9987,101.9171,-2.724350
294,-21.8160,101.1116,-2.675262
295,-23.5916,100.2178,-2.626175
296,-25.3212,99.2380,-2.577088
297,-27.0006,98.1745,-2.528000
298,-28.6258,97.0299,-2.478913
299,-30.1929,95.8069,-2.429826
300,-31.6981,94.5085,-2.380738
301,-33.1378,93.1378,-2.331651
302,-34.5085,91.6981,-2.282563
303,-35.8069,90.1929,-2.233476
304,-37.0299,88.6258,-2.184389
305,-38.1745,87.0006,-2.135301
306,-39.2380,85.3212,-2.086214
307,-40.2178,83.5916,-2.037126
308,-41.1116,81.8160,-1.988039
309,-41.9171,79.9987,-1.938952
310,-42.6325,78.1440,-1.889864
311,-43.2561,76.2565,-1.840777
312,-43.7863,74.3407,-1.791690
313,-44.2218,72.4012,-1.742602
314,-44.5616,70.4426,-1.693515
315,-44.8050,68.4697,-1.644427
316,-44.9512,66.4872,-1.595340
317,-45.0000,64.5000,-1.619884
318,-45.0939,62.5887,-1.718058
319,-45.3747,60.6957,-1.816233
320,-45.8397,58.8394,-1.914408
321,-46.4843,57.0377,-2.012583
322,-47.3025,55.3078,-2.110758
323,-48.2863,53.6664,-2.208932
324,-49.4263,52.1293,-2.307107
325,-50.7114,50.7114,-2.405282
326,-52.1293,49.4263,-2.503457
327,-53.6664,48.2863,-2.601631
328,-55.3078,47.3025,-2.699806
329,-57.0377,46.4843,-2.797981
330,-58.8394,45.8397,-2.896156
331,-60.6957,45.3747,-2.994330
332,-62.5887,45.0939,-3.092505
333,-64.5000,45.0000,-3.117049
334,-66.4872,44.9512,-3.067962
335,-68.4697,44.8050,-3.018874
336,-70.4426,44.5616,-2.969787
337,-72.4012,44.2218,-2.920699
338,-74.3407,43.7863,-2.871612
339,-76.2565,43.2561,-2.822525
340,-78.1440,42.6325,-2.773437
341,-79.9987,41.9171,-2.724350
342,-81.8160,41.1116,-2.675262
343,-83.5916,40.2178,-2.626175
344,-85.3212,39.2380,-2.577088
345,-87.0006,38.1745,-2.528000
346,-88.6258,37.0299,-2.478913
347,-90.1929,35.8069,-2.429826
348,-91.6981,34.5085,-2.380738
349,-93.1378,33.1378,-2.331651
350,-94.5085,31.6981,-2.282563
351,-95.8069,30.1929,-2.233476
352,-97.0299,28.6258,-2.184389
353,-98.1745,27.0006,-2.135301
354,-99.2380,25.3212,-2.086214
355,-100.2178,23.5916,-2.037126
356,-101.1116,21.8160,-1.988039
357,-101.9171,19.9987,-1.938952
358,-102.6325,18.1440,-1.889864
359,-103.2561,16.2565,-1.840777
360,-103.7863,14.3407,-1.791690
361,-104.2218,12.4012,-1.742602
362,-104.5616,10.4426,-1.693515
363,-104.8050,8.4697,-1.644427
364,-104.9512,6.4872,-1.595340
