ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count,core_frame_start,core_frame_end_exclusive,core_total_count,core_valid_count,core_valid_ratio,core_mae,core_norm_mae,core_corr
50,0.8,1.2,10,1.0,18.6802,0.9532394050364876,0.9551971326164874,0.9447660305421443,0.9699618876147368,1066,50,0.9551971326164874,33.49249530956848,0.030038112385263212,0.9447660305421443,50,25,1091,1066,1066,1.0,33.49249530956848,0.030038112385263212,0.9447660305421443
50,0.8,1.2,30,1.0,18.608,0.9532394050364876,0.9551971326164874,0.9447660305421443,0.9699618876147368,1066,50,0.9551971326164874,33.49249530956848,0.030038112385263212,0.9447660305421443,50,25,1091,1066,1066,1.0,33.49249530956848,0.030038112385263212,0.9447660305421443
50,0.8,1.2,50,1.0,18.6481,0.9532394050364876,0.9551971326164874,0.9447660305421443,0.9699618876147368,1066,50,0.9551971326164874,33.49249530956848,0.030038112385263212,0.9447660305421443,50,25,1091,1066,1066,1.0,33.49249530956848,0.030038112385263212,0.9447660305421443
50,0.5,1.5,10,1.0,27.404,0.9518087562943738,0.9551971326164874,0.943122791939285,0.964806198941603,1066,50,0.9551971326164874,39.24108818011257,0.03519380105839692,0.943122791939285,50,25,1091,1066,1066,1.0,39.24108818011257,0.03519380105839692,0.943122791939285
50,0.5,1.5,30,1.0,27.4579,0.9518087562943738,0.9551971326164874,0.943122791939285,0.964806198941603,1066,50,0.9551971326164874,39.24108818011257,0.03519380105839692,0.943122791939285,50,25,1091,1066,1066,1.0,39.24108818011257,0.03519380105839692,0.943122791939285
50,0.5,1.5,50,1.0,27.2256,0.9518087562943738,0.9551971326164874,0.943122791939285,0.964806198941603,1066,50,0.9551971326164874,39.24108818011257,0.03519380105839692,0.943122791939285,50,25,1091,1066,1066,1.0,39.24108818011257,0.03519380105839692,0.943122791939285
30,0.8,1.2,10,1.0,14.5959,0.9327801812540878,0.9731182795698925,0.8797316572562084,0.9532286169676849,1086,30,0.9731182795698925,52.15009208103131,0.046771383032315074,0.8797316572562084,30,15,1101,1086,1086,1.0,52.15009208103131,0.046771383032315074,0.8797316572562084
30,0.8,1.2,30,1.0,14.5603,0.9327801812540878,0.9731182795698925,0.8797316572562084,0.9532286169676849,1086,30,0.9731182795698925,52.15009208103131,0.046771383032315074,0.8797316572562084,30,15,1101,1086,1086,1.0,52.15009208103131,0.046771383032315074,0.8797316572562084
30,0.8,1.2,50,1.0,14.5492,0.9327801812540878,0.9731182795698925,0.8797316572562084,0.9532286169676849,1086,30,0.9731182795698925,52.15009208103131,0.046771383032315074,0.8797316572562084,30,15,1101,1086,1086,1.0,52.15009208103131,0.046771383032315074,0.8797316572562084
30,0.5,1.5,10,1.0,18.1591,0.9247267171065363,0.9731182795698925,0.8658187312232314,0.936639992071947,1086,30,0.9731182795698925,70.646408839779,0.06336000792805291,0.8658187312232314,30,15,1101,1086,1086,1.0,70.646408839779,0.06336000792805291,0.8658187312232314
