frame_id,x,y,yaw_rad
174,331.4065,-519.8361,2.481392
175,330.2977,-518.9751,2.481392
176,329.1888,-518.1142,2.504698
177,328.0799,-517.2532,2.546319
178,326.9710,-516.3922,2.587971
179,325.8622,-515.5313,2.629511
180,324.6956,-514.8756,2.629511
181,323.5290,-514.2198,2.629511
182,322.3624,-513.5641,2.629511
183,321.1958,-512.9084,2.629511
184,320.0293,-512.2526,2.538597
185,318.8627,-511.5969,2.411477
186,317.6961,-510.9412,2.283812
187,316.5295,-510.2855,2.159654
188,315.7891,-509.1768,2.159654
189,315.0486,-508.0682,2.159654
190,314.3081,-506.9596,2.159654
191,313.5677,-505.8509,2.159654
192,312.8272,-504.7423,2.039703
193,312.0868,-503.6337,1.871549
194,311.3463,-502.5250,1.702195
195,310.6059,-501.4164,1.540916
196,310.6474,-500.0254,1.540916
197,310.6890,-498.6344,1.540916
198,310.7306,-497.2435,1.540916
199,310.7722,-495.8525,1.540916
200,310.8137,-494.4615,1.540916
201,310.8553,-493.0705,1.540916
202,310.8969,-491.6795,1.540916
203,310.9385,-490.2886,1.456758
204,310.9800,-488.8976,1.309543
205,311.0216,-487.5066,1.161010
206,311.0632,-486.1156,1.017504
207,311.7445,-485.0125,1.017504
208,312.4258,-483.9094,1.017504
209,313.1071,-482.8063,1.017504
210,313.7885,-481.7033,1.126862
211,314.4698,-480.6002,1.258790
212,315.1511,-479.4971,1.391050
213,315.8324,-478.3940,1.519153
214,315.9097,-476.8995,1.519256
215,315.9869,-475.4050,1.519600
216,316.0642,-473.9105,1.520218
217,316.1414,-472.4159,1.519983
218,316.1878,-471.5009,1.518393
219,316.2342,-470.5858,1.515466
220,316.3055,-469.1430,1.507882
221,316.3655,-467.9586,1.500641
222,316.4243,-466.9037,1.494522
223,316.4919,-465.8494,1.490031
224,316.5786,-464.6668,1.486970
225,316.6943,-463.2271,1.485282
226,316.7717,-462.3141,1.485023
227,316.8491,-461.4012,1.484764
228,316.9764,-459.9252,1.484764
229,317.1037,-458.4492,1.484764
230,317.2310,-456.9732,1.484764
231,317.3583,-455.4971,1.484764
232,317.4856,-454.0211,1.484764
233,317.6129,-452.5451,1.484764
234,317.7402,-451.0691,1.484764
235,317.8675,-449.5931,1.484764
236,317.9948,-448.1171,1.484764
237,318.1221,-446.6411,1.484764
238,318.2494,-445.1651,1.484764
239,318.3767,-443.6890,1.484764
240,318.5040,-442.2130,1.484764
241,318.6313,-440.7370,1.484764
242,318.7586,-439.2610,1.484764
243,318.8859,-437.7850,1.457458
244,319.0132,-436.3090,1.384038
245,319.1405,-434.8330,1.310369
246,319.2678,-433.3569,1.237245
247,319.7575,-431.9436,1.237245
248,320.2473,-430.5302,1.237245
249,320.7370,-429.1169,1.237245
250,321.2267,-427.7035,1.237245
251,321.7164,-426.2901,1.237245
252,322.2062,-424.8768,1.237245
253,322.6959,-423.4634,1.237245
254,323.1856,-422.0500,1.237245
255,323.6753,-420.6367,1.237245
256,324.1651,-419.2233,1.237245
257,324.6548,-417.8100,1.237245
258,325.1445,-416.3966,1.237245
259,325.6342,-414.9832,1.237245
260,326.1240,-413.5699,1.237245
261,326.6137,-412.1565,1.237245
262,327.1034,-410.7432,1.237245
263,327.5932,-409.3298,1.237245
264,328.0829,-407.9164,1.237245
265,328.5726,-406.5031,1.237245
266,329.0623,-405.0897,1.237245
267,329.5521,-403.6763,1.237245
268,330.0418,-402.2630,1.237245
269,330.5315,-400.8496,1.237245
270,331.0212,-399.4363,1.216773
271,331.5110,-398.0229,1.156712
272,332.0007,-396.6095,1.096507
273,332.4904,-395.1962,1.036594
274,333.2391,-393.9306,1.036594
275,333.9878,-392.6650,1.036594
276,334.7365,-391.3994,1.036594
277,335.4852,-390.1338,1.036594
278,336.2339,-388.8682,1.036594
279,336.9826,-387.6026,1.036594
280,337.7313,-386.3370,1.036594
281,338.4800,-385.0714,1.036594
282,339.2287,-383.8058,1.036594
283,339.9774,-382.5402,1.036594
284,340.7260,-381.2747,1.036594
285,341.4747,-380.0091,1.036594
286,342.2234,-378.7435,1.036594
287,342.9721,-377.4779,1.036594
288,343.7208,-376.2123,1.036594
289,344.4695,-374.9467,1.036594
290,345.2182,-373.6811,1.036594
291,345.9669,-372.4155,1.036594
292,346.7156,-371.1499,1.036594
293,347.4643,-369.8843,1.036594
294,348.2130,-368.6187,1.036594
295,348.9617,-367.3531,1.036594
296,349.7104,-366.0876,1.036594
297,350.4591,-364.8220,1.036594
298,351.2078,-363.5564,1.036594
299,351.9565,-362.2908,1.036594
300,352.7052,-361.0252,1.036594
301,353.4539,-359.7596,1.036594
302,354.2025,-358.4940,1.036594
303,354.9512,-357.2284,1.036594
304,355.6999,-355.9628,1.036594
305,356.4486,-354.6972,1.036594
306,357.1973,-353.4316,1.036594
307,357.9460,-352.1660,1.107397
308,358.6947,-350.9005,1.294040
309,359.4434,-349.6349,1.484724
310,360.1921,-348.3693,1.666232
311,360.0544,-346.9312,1.666232
312,359.9168,-345.4931,1.666232
313,359.7791,-344.0551,1.666232
314,359.6415,-342.6170,1.666232
315,359.5038,-341.1789,1.666232
316,359.3661,-339.7408,1.666232
317,359.2285,-338.3028,1.666232
318,359.0908,-336.8647,1.666232
319,358.9531,-335.4266,1.666232
320,358.8155,-333.9885,1.666232
321,358.6778,-332.5505,1.666232
322,358.5402,-331.1124,1.666232
323,358.4025,-329.6743,1.666232
324,358.2648,-328.2362,1.666232
325,358.1272,-326.7982,1.666232
326,357.9895,-325.3601,1.666232
327,357.8519,-323.9220,1.666232
328,357.7142,-322.4840,1.666232
329,357.5765,-321.0459,1.742773
330,357.4389,-319.6078,1.916987
331,357.3012,-318.1697,2.094130
332,357.1636,-316.7317,2.263549
333,356.2170,-315.5912,2.263549
334,355.2704,-314.4507,2.263549
335,354.3239,-313.3103,2.263549
336,353.3773,-312.1698,2.263549
337,352.4307,-311.0293,2.263549
338,351.4842,-309.8888,2.263549
339,350.5376,-308.7484,2.263549
340,349.5911,-307.6079,2.263549
341,348.6445,-306.4674,2.263549
342,347.6979,-305.3270,2.263549
343,346.7514,-304.1865,2.263549
344,345.8048,-303.0460,2.263549
345,344.8583,-301.9056,2.263549
346,343.9117,-300.7651,2.271182
347,342.9651,-299.6246,2.312862
348,342.0186,-298.4842,2.416515
349,341.0720,-297.3437,2.613796
350,340.1255,-296.3512,2.873196
351,339.1506,-295.6126,3.136989
352,338.1570,-295.1277,-2.902244
353,337.1544,-294.8962,-2.692361
354,336.1525,-294.9179,-2.522212
355,335.1610,-295.1927,-2.388495
356,334.1895,-295.7203,-2.294979
357,333.2477,-296.5006,-2.238895
358,332.3453,-297.5333,-2.219980
359,331.5158,-298.6263,-2.219980
360,330.6862,-299.7193,-2.219980
361,329.8567,-300.8124,-2.219980
362,329.0272,-301.9054,-2.219980
363,328.1977,-302.9984,-2.219980
364,327.3682,-304.0914,-2.219980
365,326.5387,-305.1845,-2.219980
366,325.7091,-306.2775,-2.313787
367,324.8796,-307.3705,-2.465364
368,324.0501,-308.4635,-2.618196
369,323.2206,-309.5566,-2.765395
370,321.8429,-310.1008,-2.765395
371,320.4652,-310.6450,-2.765395
372,319.0875,-311.1892,-2.765395
373,317.7098,-311.7334,-2.765395
374,316.3321,-312.2776,-2.765395
375,314.9544,-312.8218,-2.765395
376,313.5766,-313.3660,-2.765395
377,312.1989,-313.9102,-2.765395
378,310.8212,-314.4544,-2.765395
379,309.4435,-314.9987,-2.765395
380,308.0658,-315.5429,-2.765395
381,306.6881,-316.0871,-2.802120
382,305.3104,-316.6313,-2.901422
383,303.9327,-317.1755,-3.001341
384,302.5550,-317.7197,-3.099910
385,301.0679,-317.7817,-3.099910
386,299.5808,-317.8437,-3.099910
387,298.0938,-317.9058,-3.099910
388,296.6067,-317.9678,-3.099910
389,295.1196,-318.0298,-3.099910
390,293.6326,-318.0918,-3.099910
391,292.1455,-318.1538,-3.099910
392,290.6584,-318.2159,-3.116399
393,289.1713,-318.2779,3.120758
394,287.6843,-318.3399,3.074667
395,286.1972,-318.4019,3.028709
396,284.7345,-318.2361,3.028709
397,283.2717,-318.0703,3.028709
398,281.8090,-317.9045,3.028709
399,280.3463,-317.7386,3.028709
400,278.8835,-317.5728,3.028709
401,277.4208,-317.4070,3.028709
402,275.9581,-317.2412,3.028709
403,274.4953,-317.0753,3.028709
404,273.0326,-316.9095,3.028709
405,271.5699,-316.7437,3.028709
406,270.1071,-316.5779,3.028709
407,268.6444,-316.4121,3.028709
408,267.1817,-316.2462,3.028709
409,265.7189,-316.0804,3.028709
410,264.2562,-315.9146,3.024555
411,262.7935,-315.7488,2.999861
412,261.3307,-315.5829,2.912166
413,259.8680,-315.4171,2.705987
414,259.1196,-315.3052,2.567921
415,258.3713,-315.1932,2.413760
416,257.2248,-314.8637,2.195106
417,256.3459,-314.3635,2.054505
418,255.6520,-313.6279,1.973216
419,255.0605,-312.5919,1.933439
420,254.7746,-311.8913,2.016152
421,254.4887,-311.1907,2.128387
422,254.0703,-310.0511,2.327298
423,253.6519,-308.9116,2.525868
424,253.2335,-307.7720,2.712850
425,252.1371,-307.2644,2.733382
426,251.0407,-306.7569,2.791019
427,249.9443,-306.2493,2.912004
428,249.2057,-305.9229,3.020110
429,248.4670,-305.5966,3.136790
430,247.2978,-305.1937,-2.980240
431,246.2778,-305.0343,-2.875693
432,245.2484,-305.1121,-2.818339
433,244.0509,-305.4208,-2.793171
434,243.2886,-305.6874,-2.707585
435,242.5264,-305.9541,-2.579073
436,241.3931,-306.3731,-2.380974
437,240.2597,-306.7920,-2.185197
438,239.1263,-307.2110,-2.012961
439,238.6189,-308.3137,-2.053357
440,238.1115,-309.4164,-2.158785
441,237.6041,-310.5191,-2.352112
442,236.9281,-311.8453,-2.655502
443,236.2487,-312.8109,-2.882923
444,235.4863,-313.4654,-3.029859
445,234.5614,-313.8579,-3.115771
446,233.3945,-314.0377,3.124508
447,231.9061,-314.0543,3.112554
448,230.4278,-314.0114,3.112554
449,228.9495,-313.9684,3.112554
450,227.4713,-313.9255,3.112554
451,225.9930,-313.8825,3.112554
452,224.5147,-313.8396,3.112554
453,223.0364,-313.7967,3.112554
454,221.5581,-313.7537,3.112554
455,220.0798,-313.7108,3.112554
456,218.6016,-313.6678,3.112554
457,217.1233,-313.6249,3.112554
458,215.6450,-313.5820,3.112554
459,214.1667,-313.5390,3.112554
460,212.6884,-313.4961,3.112554
461,211.2101,-313.4531,3.112554
462,209.7318,-313.4102,3.112554
463,208.2536,-313.3673,3.112554
464,206.7753,-313.3243,3.112554
465,205.2970,-313.2814,3.112554
466,203.8187,-313.2384,3.112554
467,202.3404,-313.1955,3.112554
468,200.8621,-313.1526,3.112554
469,199.3838,-313.1096,3.112554
470,197.9056,-313.0667,3.112554
471,196.4273,-313.0237,3.112554
472,194.9490,-312.9808,3.112554
473,193.4707,-312.9379,3.121133
474,191.9924,-312.8949,-3.139511
475,190.5141,-312.8520,-3.116962
476,189.0358,-312.8090,-3.094429
477,187.5405,-312.8796,-3.094429
478,186.0452,-312.9502,-3.094429
479,184.5498,-313.0208,-3.094429
480,183.0545,-313.0913,-3.094429
481,181.5591,-313.1619,-3.094429
482,180.0638,-313.2325,-3.094429
483,178.5684,-313.3031,-3.094429
484,177.0731,-313.3737,-3.094429
485,175.5777,-313.4442,-3.094429
486,174.0824,-313.5148,-3.094429
487,172.5870,-313.5854,-3.094429
488,171.0917,-313.6560,-3.094429
489,169.5964,-313.7266,-3.094429
490,168.1010,-313.7971,-3.094429
491,166.6057,-313.8677,-3.094429
492,165.1103,-313.9383,-3.094429
493,163.6150,-314.0089,-3.094429
