dataset_group,reference_run,query_run
city_sim,city_sim_day_centerline,city_sim_night_centerline
city_sim,city_sim_night_centerline,city_sim_day_centerline
city_sim,city_sim_night_centerline,city_sim_night_centerline
village_sim,village_sim_day_centerline_smooth,village_sim_winter_centerline_smooth
village_sim,village_sim_winter_centerline_smooth,village_sim_day_centerline_smooth
village_sim,village_sim_winter_centerline_smooth,village_sim_winter_centerline_smooth
