ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count,core_frame_start,core_frame_end_exclusive,core_total_count,core_valid_count,core_valid_ratio,core_mae,core_norm_mae,core_corr
50,0.8,1.2,10,1.0,16.4096,0.9616448600755636,0.9551971326164874,0.9619349866264445,0.980214371650443,1066,50,0.9551971326164874,22.0609756097561,0.01978562834955704,0.9619349866264445,50,25,1091,1066,1066,1.0,22.0609756097561,0.01978562834955704,0.9619349866264445
50,0.8,1.2,30,1.0,16.4625,0.9616448600755636,0.9551971326164874,0.9619349866264445,0.980214371650443,1066,50,0.9551971326164874,22.0609756097561,0.01978562834955704,0.9619349866264445,50,25,1091,1066,1066,1.0,22.0609756097561,0.01978562834955704,0.9619349866264445
50,0.8,1.2,50,1.0,16.3794,0.9616448600755636,0.9551971326164874,0.9619349866264445,0.980214371650443,1066,50,0.9551971326164874,22.0609756097561,0.01978562834955704,0.9619349866264445,50,25,1091,1066,1066,1.0,22.0609756097561,0.01978562834955704,0.9619349866264445
30,0.8,1.2,10,1.0,12.8169,0.9416612027217625,0.9731182795698925,0.9019946003909949,0.9530675783927525,1086,30,0.9731182795698925,52.32965009208103,0.04693242160724756,0.9019946003909949,30,15,1101,1086,1086,1.0,52.32965009208103,0.04693242160724756,0.9019946003909949
30,0.8,1.2,30,1.0,12.8623,0.9416612027217625,0.9731182795698925,0.9019946003909949,0.9530675783927525,1086,30,0.9731182795698925,52.32965009208103,0.04693242160724756,0.9019946003909949,30,15,1101,1086,1086,1.0,52.32965009208103,0.04693242160724756,0.9019946003909949
30,0.8,1.2,50,1.0,12.8544,0.9416612027217625,0.9731182795698925,0.9019946003909949,0.9530675783927525,1086,30,0.9731182795698925,52.32965009208103,0.04693242160724756,0.9019946003909949,30,15,1101,1086,1086,1.0,52.32965009208103,0.04693242160724756,0.9019946003909949
50,0.5,1.5,10,1.0,24.0242,0.9288677539053148,0.9551971326164874,0.8898484373897524,0.9539311284799636,1066,50,0.9551971326164874,51.366791744840526,0.046068871520036345,0.8898484373897524,50,25,1091,1066,1066,1.0,51.366791744840526,0.046068871520036345,0.8898484373897524
50,0.5,1.5,30,1.0,24.0328,0.9288677539053148,0.9551971326164874,0.8898484373897524,0.9539311284799636,1066,50,0.9551971326164874,51.366791744840526,0.046068871520036345,0.8898484373897524,50,25,1091,1066,1066,1.0,51.366791744840526,0.046068871520036345,0.8898484373897524
50,0.5,1.5,50,1.0,24.0271,0.9288677539053148,0.9551971326164874,0.8898484373897524,0.9539311284799636,1066,50,0.9551971326164874,51.366791744840526,0.046068871520036345,0.8898484373897524,50,25,1091,1066,1066,1.0,51.366791744840526,0.046068871520036345,0.8898484373897524
20,0.8,1.2,10,1.0,12.2362,0.9274339503886752,0.982078853046595,0.8614811013209451,0.9393735065955288,1096,20,0.982078853046595,67.5985401459854,0.06062649340447121,0.8614811013209451,20,10,1106,1096,1096,1.0,67.5985401459854,0.06062649340447121,0.8614811013209451
20,0.8,1.2,30,1.0,12.2197,0.9274339503886752,0.982078853046595,0.8614811013209451,0.9393735065955288,1096,20,0.982078853046595,67.5985401459854,0.06062649340447121,0.8614811013209451,20,10,1106,1096,1096,1.0,67.5985401459854,0.06062649340447121,0.8614811013209451
20,0.8,1.2,50,1.0,12.1776,0.9274339503886752,0.982078853046595,0.8614811013209451,0.9393735065955288,1096,20,0.982078853046595,67.5985401459854,0.06062649340447121,0.8614811013209451,20,10,1106,1096,1096,1.0,67.5985401459854,0.06062649340447121,0.8614811013209451
30,0.5,1.5,10,1.0,15.9519,0.9135338173051695,0.9731182795698925,0.8407859651576164,0.9287747029044753,1086,30,0.9731182795698925,79.41620626151013,0.07122529709552478,0.8407859651576164,30,15,1101,1086,1086,1.0,79.41620626151013,0.07122529709552478,0.8407859651576164
30,0.5,1.5,30,1.0,16.0015,0.9135338173051695,0.9731182795698925,0.8407859651576164,0.9287747029044753,1086,30,0.9731182795698925,79.41620626151013,0.07122529709552478,0.8407859651576164,30,15,1101,1086,1086,1.0,79.41620626151013,0.07122529709552478,0.8407859651576164
30,0.5,1.5,50,1.0,16.0894,0.9135338173051695,0.9731182795698925,0.8407859651576164,0.9287747029044753,1086,30,0.9731182795698925,79.41620626151013,0.07122529709552478,0.8407859651576164,30,15,1101,1086,1086,1.0,79.41620626151013,0.07122529709552478,0.8407859651576164
30,0.3,2.0,10,1.0,19.471,0.9120452036066415,0.9731182795698925,0.8400972208426691,0.9206872630874811,1086,30,0.9731182795698925,88.43370165745857,0.0793127369125189,0.8400972208426691,30,15,1101,1086,1086,1.0,88.43370165745857,0.0793127369125189,0.8400972208426691
