query_array_index,query_frame_id,matched_ref_index,matched_ref_frame_id,quality,valid,gt_x,gt_y,gt_yaw_rad,est_x,est_y,est_yaw_rad,xy_error
67,68,67,68,0.119809012,True,-64.500000,-105.000000,0.000000000,-64.500000,-105.000000,0.000000000,0.000000
68,69,68,69,0.106163451,True,-62.528600,-105.000000,0.000000000,-62.528600,-105.000000,0.000000000,0.000000
69,70,69,70,0.098652990,True,-60.557100,-105.000000,0.000000000,-60.557100,-105.000000,0.000000000,0.000000
70,71,70,71,0.091058975,True,-58.585700,-105.000000,0.000000000,-58.585700,-105.000000,0.000000000,0.000000
71,72,71,72,0.083687476,True,-56.614300,-105.000000,0.000000000,-56.614300,-105.000000,0.000000000,0.000000
72,73,72,73,0.073657436,True,-54.642900,-105.000000,0.000000000,-54.642900,-105.000000,0.000000000,0.000000
73,74,73,74,0.089021804,True,-52.671400,-105.000000,0.000000000,-52.671400,-105.000000,0.000000000,0.000000
74,75,74,75,0.117378437,True,-50.700000,-105.000000,0.000000000,-50.700000,-105.000000,0.000000000,0.000000
75,76,75,76,0.138342868,True,-48.728600,-105.000000,0.000000000,-48.728600,-105.000000,0.000000000,0.000000
76,77,76,77,0.145752590,True,-46.757100,-105.000000,0.000000000,-46.757100,-105.000000,0.000000000,0.000000
77,78,77,78,0.152307080,True,-44.785700,-105.000000,0.000000000,-44.785700,-105.000000,0.000000000,0.000000
78,79,78,79,0.151140461,True,-42.814300,-105.000000,0.000000000,-42.814300,-105.000000,0.000000000,0.000000
79,80,79,80,0.164460057,True,-40.842900,-105.000000,0.000000000,-40.842900,-105.000000,0.000000000,0.000000
80,81,80,81,0.152234583,True,-38.871400,-105.000000,0.000000000,-38.871400,-105.000000,0.000000000,0.000000
81,82,81,82,0.139506761,True,-36.900000,-105.000000,0.000000000,-36.900000,-105.000000,0.000000000,0.000000
82,83,82,83,0.130018782,True,-34.928600,-105.000000,0.000000000,-34.928600,-105.000000,0.000000000,0.000000
83,84,83,84,0.140015554,True,-32.957100,-105.000000,0.000000000,-32.957100,-105.000000,0.000000000,0.000000
84,85,84,85,0.122381675,True,-30.985700,-105.000000,0.000000000,-30.985700,-105.000000,0.000000000,0.000000
85,86,85,86,0.120888367,True,-29.014300,-105.000000,0.000000000,-29.014300,-105.000000,0.000000000,0.000000
86,87,86,87,0.093961648,True,-27.042900,-105.000000,0.000000000,-27.042900,-105.000000,0.000000000,0.000000
87,88,87,88,0.080501122,True,-25.071400,-105.000000,0.000000000,-25.071400,-105.000000,0.000000000,0.000000
88,89,88,89,0.081288780,True,-23.100000,-105.000000,0.000000000,-23.100000,-105.000000,0.000000000,0.000000
89,90,89,90,0.082498584,True,-21.128600,-105.000000,0.000000000,-21.128600,-105.000000,0.000000000,0.000000
90,91,90,91,0.086007361,True,-19.157100,-105.000000,0.000000000,-19.157100,-105.000000,0.000000000,0.000000
91,92,91,92,0.092637028,True,-17.185700,-105.000000,0.000000000,-17.185700,-105.000000,0.000000000,0.000000
92,93,92,93,0.092914284,True,-15.214300,-105.000000,0.000000000,-15.214300,-105.000000,0.000000000,0.000000
93,94,93,94,0.099258585,True,-13.242900,-105.000000,0.000000000,-13.242900,-105.000000,0.000000000,0.000000
